Region,Sex,Q1A1,Q1A2,Q2A1,Q2A2
W,F,すいません。シャッター押してもらってもいいですか？,C,すいません。シャッター押してもらっていいですか？,B
W,F,すいません。写真撮って頂けますか？,C,すいません。写真撮って頂けますか？,C
W,F,ごめんやけど写真撮ってくれる？,NA,申し訳ありません。写真お願いできますか？,NA
W,F,写真撮ってもらえませんか？,B,すみません。写真撮ってもらえませんか？,A
W,F,あすみません。ちょっとシャッター押してもらっていいですか？,D,すみません。写真を撮りたいんですが、お願いしてもよろしいですか？,C
W,F,すいません。シャッター押してもらえますか？,C,すいません。シャッター押してもらえますか？,C
W,F,すみません。写真撮ってくれませんか？,C,あのー、すみません。写真撮ってくれませんか？,B
W,F,すみません。ちょっと写真撮ってもらえませんか？,C,すいません。ちょっと写真撮ってもらえませんか？,C
W,F,すみません。写真撮ってもらえますか？,C,すみません。写真撮ってもらえますか？,C
W,F,,B,,C
W,F,すみません。写真撮ってもらえますか？シャッター押すだけなんで。,C,すみません。ちょっと写真撮ってもらえませんか？シャッター押すだけなんで。,B
W,F,すみません、写真撮ってもらえませんか？,C,すみません。もしよろしければ写真を撮って頂けませんか？,C
W,F,すみませーん。写真撮ってもらえませんか？,C,すみませーん。写真撮って頂けませんか？,C
W,M,すみませーん。シャッター押してもらっていいすかー？,D,すみません。シャッター押してもらってもいいですか？,C
W,F,すみません。写真を撮ってもらっても、いいですか？,C,,A
W,F,写真、お願いしていい？,C,すいません。写真撮って頂けますか？お願いできますか？,B
W,F,すいません、ちょっと写真を撮ってもらいたいんですけど、いいですか？,B,すみません。ちょっと写真を撮って頂きたいんですがよろしいですか？,B
W,M,ええかな？ちょっと写真撮ってもらいたいんだけど。大丈夫、別にそれ以上要求せえへんから。,C,すいません。ちょっとよろしいでしょうか？ちょっと僕らの写真を撮って頂きたいんですけど。,B
W,F,すみません。シャッター押してもらえますか？,D,すみません。シャッター押してもらえますか？,C
W,F,写真撮ってもらっていいですか？,C,すみませんが、写真を撮ってもらえませんか？,B
E,M,ねえ、ちょっと写真撮ってもらっていいですか？,C,すみません。ちょっとシャッター押してもらっていいですか？,C
E,M,ちょっとシャッター押してもらっていいですか？,C,ちょっとシャッター押して頂けますか？,B
W,F,すみません。シャッター押してもらってもいいですか？,C,すみません。シャッター押して頂いてもいいですか？,C
E,F,シャッターを押してもらえませんか？,B,写真を撮ってもらえますか？,B
E,M,あの、悪いんだけどちょっと写真撮ってもらえますか？,C,すみません。ちょっと写真撮って頂いてよろしいですか？,B
E,F,すみません。シャッター押して頂けますか？,C,すみません。シャッターお願いしてもよろしいでしょうか？,C
E,F,すみません。写真を撮って頂けますか？,C,すみません。写真を撮って頂けますか？,C
E,M,,B,すいません。写真を撮って頂けますか？,B
W,F,すみません。シャッター押してもらってもいいですか？,C,すみません。シャッター押して頂けますか？,B
W,F,すいませーん、写真撮ってもろて、ええかなあ？,C,すいませんが、ちょっとシャッターを押してもらってもいいですか？,B
W,F,すいません。シャッターお願いしてもいいですか？,D,すいません。シャッターお願いしてもいいですか？,D
W,M,ちょっとごめん。写真撮ってくれん？,C,すいません。写真撮ってもらえませんか？,C
W,M,ごめん。写真撮ってくれん？,C,すみません。写真撮ってもらえませんか？,B
W,F,シャッター押してもらってもいいですか？,C,すみませんが、シャッター押してもらってもいいですか？,C
W,M,写真お願いしてもいいですか？,C,写真お願いしてもいいですか？,C
W,F,,C,,B
W,F,写真を撮ってもらいたいんだけど、撮ってもらえないかな？,C,すいません。シャッターを押して頂きたいのですが、頼んでもいいですか？,B
W,F,すみません。シャッターお願いしてもいいですか？,C,すみません。写真を撮ってもらってもよろしいですか？,B
W,F,お願いします。,C,,C
W,F,,B,すみません。写真を撮って頂けませんか？,B
W,F,すいません、写真を撮りたいんだけどシャッター押してもらえませんか？,C,すいません。私達で写真を撮りたいのですが、シャッターを押してもらえませんか？,B
W,F,すみません、シャッター押してもらえませんか？,C,すみません。シャッター押して頂けますか？,C
E,M,ごめんなさい、写真撮ってもらっていいっすか？,D,すみません。写真撮って頂けますか？,B
E,M,,B,すいません。このカメラで写真を撮って頂きたいのですが。,NA
E,M,すみません、写真撮ってもらえますか？,C,,B
W,F,,C,すみません。写真を撮ってもらいたいのですが。,B
E,F,すいません、シャッター押してもらってもいいですか？,C,,C
E,M,すいません、写真を撮ってもらいたいんですけどいいですか？,B,すいません。写真を撮ってもらいたいんですけど、お願いしていいですか？,B
E,F,すいません、シャッター押してもらえますか？,D,すいません。写真撮ってもらえますか？,D
E,F,すいません、シャッター押してもらえますか？,NA,すいません。シャッター押して頂けますか？,NA
W,M,,B,すみません。よろしければシャッター押して頂けませんか？,B
W,F,すいません、シャッター押してもらえますか？,C,すいません。シャッター押して頂けますか？,C
W,F,ごめんやけど、写真撮ってもらえへんかなー？,C,すいません。写真を撮って頂けませんか？,C
W,F,,B,すみません。写真撮ってもらえますか？,C
W,F,すいません、シャッター押してもらっていいですか？,B,すいません。シャッター押してもらっていいですか？,C
W,F,,B,すいません。写真撮ってもらっていいですか？,B
W,F,シャッター押してもらっても、いい？,C,すみません。写真を撮って頂いてもいいですか,A
W,F,すいません、写真撮ってもらえませんか？,D,すいません。写真撮ってもらえませんか？,C
W,F,すいません、シャッター押してもらっていい？,C,すいません。シャッター押してもらえませんか？,C
W,F,ちょっとシャッター押してもらっていいですか？,C,すみません。ちょっとシャッター押してもらえませんか？,B
W,F,すいません、写真撮ってもらっていいですか？,C,すいません。写真撮ってもらってもいいですか？,C
W,M,,C,写真を撮ってもらえないでしょうか？,C
W,F,すいません、写真撮ってもらえますか？,C,,B
W,F,写真撮って下さい。,C,,B
W,F,すいません、シャッター押してもらっていいですか？,NA,すいません。シャッター押してもらっていいですか？,NA
W,F,すいません、写真を撮って頂きたいんですが、お願いできますか？,B,すいません。写真を撮って頂きたいんですが、お願いできますでしょうか？,B
W,M,ちょっとごめん、シャッターを押して欲しいんだけど頼める？,D,,B
W,M,ちょっと頼みたいんやけど、シャッター押してもらってもいいか？,C,すみませんが、写真撮ってもらっていいですか？,C
W,F,すみません、写真撮ってもらってもいいですか？,C,すみません。写真撮ってもらってもいいですか？,C
W,M,すいません、写真撮って下さい。,B,すいません。写真を撮ってもらえませんか？,B
W,F,,B,すみません。写真をお願いできますか？,C
W,F,すみません、シャッター押してもらってもいいですか？,C,,C
W,F,すいません、写真撮ってもらえますか？,A,すみません。写真を撮って頂けますか？,A
W,M,,B,,B
W,F,すいませんが、写真を撮って欲しいんですけど大丈夫ですか？,B,すみませんが、写真を撮ってもらっても大丈夫でしょうか？,A
W,M,ごめん、シャッター押してくれないかな？,C,すみません。シャッター切ってもらっていいですか？,C
W,M,すみません、写真撮ってもらえませんか？,C,すみません。写真を撮って頂けませんか？,C
W,M,,C,写真を撮って頂きたいんですがよろしいですか？,NA
W,F,,C,すみません。カメラで写真を撮って頂きたいんですが？,C
W,F,すみません、写真を撮ってもらえますか？,A,すみません。写真を撮ってもらえますか？,A
W,M,,C,すいません。写真を撮って欲しいんですけどよろしいですか？,D
W,F,,E,,E
W,F,,C,,B
W,F,,D,すいません。写真をお願いしたいんですけど？,B
W,F,,D,すいませんが、写真を撮ってもらえませんか？,C
E,F,すみません、写真撮ってもらっていいですか？,D,すみません。写真を撮って頂いてもいいですか？,E
W,F,すいません、写真撮ってください。,C,すいません。写真撮って下さい。,C
W,F,,B,すいません。写真撮ってもらえませんか？,C
W,F,すいません、シャッター押してもらえませんか？,C,すみませんが、写真を撮ってもらえませんか？,B
W,F,ごめんやけど、シャッター押してくれへんかな？,NA,すみません。シャッターを押してもらえませんか？,NA
W,M,すいません、写真を撮ってもらえませんか？,B,すいませんが、写真を撮ってもらえませんか？,A
W,F,すみません、写真撮ってくれませんか？,NA,すみません。写真撮ってくれませんか？,NA
W,F,ちょっと写真撮ってもらいたいんやけど、いい？,D,すいません。良かったら写真撮ってもらえませんか？,C
W,F,すいません、シャッター押してもらえませんか？,C,すいません。友達と写真を撮りたいのでシャッターを押してもらえませんか？,C
W,M,ごめん、ちょっと写真撮ってくれへん？,NA,すみません。写真を撮ってもらってもいいですか？,NA
W,F,すいません、写真撮ってもらってもいいですか？,D,すいません。あの、写真を撮ってもらってもいいですか？,D
W,F,すいません、写真撮ってもらってもいいですか？,B,すいません。ちょっと写真を撮ってもらってもいいですか？,B
W,F,すいません、写真撮ってもらってもいいですか？,NA,すみません。写真撮ってもらってもいいですか？,NA
W,F,,B,すみません。友達と写真を撮りたいのですがシャッターを押して頂けませんか？,C
W,F,すいません、写真撮ってもらってもいいですか？,C,すみません。ちょっと写真を撮って頂きたいんですがよろしいですか？,B
W,M,すみません、シャッター押してもらえませんか？,A,すみません。シャッター押してもらえませんか？,A
W,F,写真撮ってくれませんか？,NA,写真撮ってくれませんか？,NA
W,F,すいません、ちょっと写真撮って欲しいんですけど、いいですか？,B,すいません。写真を撮って欲しいんですけど、いいですか？,B
W,F,すみません、写真をお願いしたいのですが。,C,,A
W,F,今時間ある？シャッターを押して欲しいんだけど、お願いできる？,C,すみませんが、カメラのシャッターを押してもらっても良いでしょうか？よろしくお願いします。,B
W,F,ごめん、写真撮ってもらえますか？,C,すみません。写真撮って頂けませんか？,C
W,M,写真を撮って頂けませんか？,B,すみませんが、写真を撮って頂けませんか？,B
W,F,すみません、カメラ撮ってもらいたいんですけど。,C,,B
E,M,ごめんやけど、ちょっとシャッター押してくれない？,C,すいません。少しお時間よろしいですか？よろしければシャッターを押して頂けませんか？,B
W,M,,B,,A
W,F,すいません、写真お願いできますか？,B,すいません。写真を撮って頂けませんか？,C
W,F,,A,すいません。よろしければ写真を一枚撮って頂けませんか？,B
E,F,シャッターお願いしてもいいかな？,C,すみません。シャッターお願いしてもいいですか？,C
E,F,すいません、写真撮ってもらえますか？,C,すみません。写真を撮って頂けますか？,C
E,F,すいません、写真撮ってもらってもいいですか？,D,,D
E,F,すいません、シャッター押してもらえませんか？,C,すいません。シャッター押してもらえませんか？,B
E,F,すみません、写真撮ってもらえますか？,D,すみません。写真撮ってもらえませんか？,C
W,M,,D,ちょっと写真撮って欲しいんですけど、いいですか？,C
E,F,すみません、写真撮ってもらえませんか？,D,,B
E,F,すみません、写真撮ってもらえますか？,C,すいません。写真撮ってもらえますか？,B
E,F,すみません、ちょっとこれ、お願いしたいんですけど,C,すみません。あの、ちょっとこのシャッター押して頂けないでしょうか？,B
E,F,すみません、シャッターを押して頂けませんか？,D,すみません。もしよろしければシャッターを押して頂けませんでしょうか？,C
E,F,,C,すいません。私達の写真を撮って頂けますか？,NA
E,F,すみません、シャッター押してもらってもいいですか？,B,すみません。シャッター押してもらってもいいですか？,B
E,F,すいません、写真撮ってもらえますか？,NA,,C
E,F,すみません、写真撮ってもらえませんか？,B,すみません。写真撮ってもらってもよろしいですか？,A
E,F,ちょっと写真を撮ってもらってもいいですか？,C,すみません。写真を撮って頂けますか？取って頂きたいのですがよろしいですか？,A
E,F,すみません、写真撮ってもらっていいですか？,NA,すみません。写真撮ってもらっていいですか？,NA
E,F,,A,すみません。カメラのシャッター押してもらえませんか？,C
E,F,すみません、写真撮ってもらえますか？,NA,すみません。写真撮ってもらえますか？,NA
E,F,すみません、写真撮って欲しいんですけど。いいですか？,D,すみません。シャッター押してもらっていいですか？,C
E,F,,B,すみません。写真撮ってもらえますか？,B
E,F,すいません、良かったら写真撮ってもらえますか？,C,すいません。良かったら写真を撮って頂けますか？,C
E,F,すみません、写真のシャッターを押してもらえますか？,B,すみません。写真を撮ってもらえますか？,B
